Longitude,Latitude,Altitude
13.221425101161003,47.4263191609424,540.0
13.221425101161003,47.41569963619943,541.0
13.221425101161003,47.394460586713485,546.0
13.221425101161003,47.405080111456456,547.0
13.221425101161003,47.410389873827945,549.0
13.221425101161003,47.389150824342,556.0
13.19698977470398,47.35198248774161,562.0
13.19698977470398,47.34667272537013,566.0
13.19698977470398,47.3572922501131,572.0
13.148119121789932,47.3201239135127,591.0
13.221425101161003,47.38384106197052,601.0
13.221425101161003,47.43162892331388,613.0
13.221425101161003,47.37853129959903,618.0
13.172554448246956,47.325433675884184,619.0
13.245860427618027,47.43162892331388,625.0
13.19698977470398,47.36260201248458,644.0
13.221425101161003,47.37322153722755,670.0
13.050377815961838,47.29888486402676,692.0
12.977071836590767,47.29357510165528,695.0
13.148119121789932,47.325433675884184,702.0
13.245860427618027,47.4263191609424,709.0
13.221425101161003,47.36791177485606,712.0
13.319166406989098,47.41569963619943,718.0
13.172554448246956,47.33074343825567,718.0
13.123683795332909,47.31481415114121,719.0
12.830459877848625,47.43162892331388,727.0
12.830459877848625,47.42100939857091,728.0
12.830459877848625,47.4263191609424,729.0
12.830459877848625,47.43693868568537,735.0
13.123683795332909,47.33074343825567,735.0
13.00150716304779,47.30419462639825,738.0
13.294731080532074,47.42100939857091,739.0
12.830459877848625,47.405080111456456,748.0
13.148119121789932,47.33074343825567,750.0
12.854895204305649,47.42100939857091,752.0
12.952636510133743,47.29357510165528,753.0
12.830459877848625,47.38384106197052,754.0
12.854895204305649,47.399770349084974,756.0
12.854895204305649,47.405080111456456,757.0
12.830459877848625,47.399770349084974,757.0
12.854895204305649,47.4263191609424,762.0
13.025942489504814,47.30950438876973,767.0
12.830459877848625,47.41569963619943,774.0
12.879330530762672,47.410389873827945,775.0
12.879330530762672,47.28826533928379,779.0
13.294731080532074,47.4263191609424,783.0
13.343601733446121,47.42100939857091,783.0
13.099248468875885,47.30950438876973,783.0
13.368037059903145,47.42100939857091,785.0
12.830459877848625,47.410389873827945,787.0
12.879330530762672,47.41569963619943,788.0
13.319166406989098,47.405080111456456,797.0
12.830459877848625,47.37853129959903,798.0
13.19698977470398,47.36791177485606,799.0
13.319166406989098,47.410389873827945,800.0
12.854895204305649,47.41569963619943,801.0
12.903765857219696,47.405080111456456,802.0
13.025942489504814,47.31481415114121,802.0
12.903765857219696,47.399770349084974,804.0
13.123683795332909,47.336053200627155,806.0
12.854895204305649,47.410389873827945,807.0
13.27029575407505,47.4263191609424,811.0
13.514649018645287,47.394460586713485,813.0
13.099248468875885,47.33074343825567,813.0
13.221425101161003,47.35198248774161,815.0
12.903765857219696,47.394460586713485,818.0
13.099248468875885,47.3201239135127,818.0
13.587954998016357,47.399770349084974,819.0
13.563519671559334,47.405080111456456,822.0
12.854895204305649,47.28826533928379,822.0
13.221425101161003,47.36260201248458,828.0
13.245860427618027,47.42100939857091,832.0
13.025942489504814,47.3201239135127,832.0
13.53908434510231,47.399770349084974,833.0
13.099248468875885,47.31481415114121,833.0
13.563519671559334,47.399770349084974,834.0
12.92820118367672,47.29357510165528,834.0
12.830459877848625,47.28826533928379,834.0
12.830459877848625,47.33074343825567,839.0
13.074813142418861,47.325433675884184,840.0
13.123683795332909,47.3201239135127,840.0
13.416907712817192,47.38384106197052,842.0
12.903765857219696,47.389150824342,847.0
13.19698977470398,47.394460586713485,849.0
13.392472386360168,47.38384106197052,852.0
13.221425101161003,47.34667272537013,852.0
12.879330530762672,47.405080111456456,853.0
13.148119121789932,47.37853129959903,853.0
13.392472386360168,47.41569963619943,854.0
13.441343039274216,47.38384106197052,855.0
13.221425101161003,47.3572922501131,855.0
12.903765857219696,47.410389873827945,856.0
13.392472386360168,47.37853129959903,856.0
12.879330530762672,47.42100939857091,860.0
13.392472386360168,47.410389873827945,864.0
13.294731080532074,47.336053200627155,868.0
13.123683795332909,47.325433675884184,871.0
13.7345669567585,47.41569963619943,872.0
13.099248468875885,47.336053200627155,872.0
13.319166406989098,47.42100939857091,874.0
12.854895204305649,47.394460586713485,875.0
13.074813142418861,47.33074343825567,875.0
13.490213692188263,47.389150824342,878.0
13.148119121789932,47.336053200627155,882.0
13.245860427618027,47.41569963619943,886.0
12.92820118367672,47.405080111456456,887.0
13.294731080532074,47.41569963619943,889.0
13.759002283215523,47.42100939857091,890.0
13.343601733446121,47.41569963619943,890.0
13.46577836573124,47.389150824342,894.0
13.074813142418861,47.30419462639825,894.0
13.050377815961838,47.31481415114121,895.0
13.392472386360168,47.394460586713485,896.0
13.074813142418861,47.3201239135127,897.0
12.879330530762672,47.29357510165528,898.0
12.903765857219696,47.29357510165528,903.0
13.19698977470398,47.37322153722755,908.0
13.392472386360168,47.389150824342,909.0
13.416907712817192,47.4263191609424,917.0
13.172554448246956,47.35198248774161,918.0
13.368037059903145,47.41569963619943,922.0
13.392472386360168,47.405080111456456,924.0
13.074813142418861,47.31481415114121,924.0
13.27029575407505,47.42100939857091,925.0
13.368037059903145,47.4263191609424,927.0
13.343601733446121,47.3572922501131,930.0
13.368037059903145,47.44755821042833,931.0
12.92820118367672,47.38384106197052,933.0
13.099248468875885,47.325433675884184,933.0
